id,talep_metni,talep_turu,birim,modul,surec_talep_tipi,oncelik
T-1319,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1320,5. kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1321,excel de formül hata veriyor #REF diyor anlamadım,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Orta
T-1322,sandalyem bozuldu sırt kısmı kırıldı değişmesi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1323,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1324,yıllık izin ne kadar kaldı bilmiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1325,siyah toner tükendi renkli hala var,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1326,"Satınalma için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1327,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1328,klima soğutmuyor ofis çok sıcak,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1329,"Merve kartını dün Kocaeli Depo yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1330,fotokopi makinesi tarama yapmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1331,"Deniz 10 Eylül'te Pazarlama'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1332,iznimi değiştirmem lazım tarih uymuyor artık,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1333,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1334,yazıcıya bağlı tarayıcı çalışmıyor tarama yapamıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1335,"Klavyem çalışmıyor bazı tuşlar basınca yazmıyor, Lojistik.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Düşük
T-1336,vpn hata veriyor Timeout Exception,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
T-1337,"Hesabım kilitlendi, çok kez yanlış şifre girdim, Mehmet.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Yüksek
T-1338,avans talebim ne zaman hesaba geçecek acaba,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1339,900 TL tutarındaki harcama formum 3 gündür beklemede.,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1340,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1341,"5.000 TL tutarındaki fatura hâlâ ödenmemiş görünüyor, Aksoy Ltd. Şti..",Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1342,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1343,"yöneticim onayladı, yeni bir dizüstü bilgisayara ihtiyacım var mevcut cihazım çok eski kaldı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1344,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1345,wifi sürekli kopuyor toplantıda rezil oldum,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1346,"Yeni bilgisayarıma Office kurulumu yapılmamış, kurulabilir mi?",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1347,bodrum kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Düşük
T-1348,Teams çöküyor sürekli kapanıyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1349,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1350,"İnternet 16:30'den beri tamamen kesik, 7. kat, Levent Ofis.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1351,kaç gün izin hakkım kaldı öğrenmek istiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1352,5. kat yazıcının toneri bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1353,kalem defter A4 kağıt lazım departmanımıza,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1354,İzmir Ofis ofisindeki tüm sistemler 11:15'den beri erişilemez durumda.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1355,kalorifer çalışmıyor çok soğuk ofiste,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1356,"Deniz kartını dün Ar-Ge Binası yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1357,yazıcı kağıt sıkıştırdı basmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Düşük
T-1358,Danışman arkadaşımız için geçici erişim hesabı oluşturulmasını rica ederim.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1359,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1360,veritabanına bağlanamıyorum Error 500,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1361,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1362,"Dizüstü bilgisayarım çok yavaş çalışıyor, program açmak dakikalar sürüyor, Kalite departmanındayım.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Yüksek
T-1363,VPN bağlanamıyorum evden şirket ağına bağlanmaya çalışıyorum hata veriyor.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1364,şifremi unuttum giremiyorum acil,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1365,900 TL avans talep ediyorum 12 Eylül seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1366,geçen haftaki seyahat masraflarımın onayı bekliyor ne zaman geçer acaba,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1367,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1368,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1369,"Gebze Fabrika güzergahına yeni durak eklenmesini talep ediyorum, Ayşe.",Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1370,"yöneticim onayladı, yeni bir dizüstü bilgisayara ihtiyacım var mevcut cihazım çok eski kaldı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Orta
T-1371,banka için çalışma belgesi lazım acil,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Orta
T-1372,toplantı odasında wifi çok yavaş bağlanmıyor bazen,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1373,"Yeni bilgisayarıma Office kurulumu yapılmamış, kurulabilir mi?",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1374,prizler çalışmıyor şarj olmuyor bilgisayarım,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Düşük
T-1375,outlook takvim senkronize olmuyor toplantılarım görünmüyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1376,masamın çekmecesi kilitleniyor açılmıyor,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1377,Tüm binada internet kesildi acil müdahale rica ederiz.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1378,12 Eylül için izin almak istiyorum yeterli günüm var mı acaba?,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1379,Yazıcının toneri bitti acil 4. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Orta
T-1380,kalem defter A4 kağıt lazım departmanımıza,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1381,Muhasebe sistemi kapandı fatura kesemiyoruz acil!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1382,klima soğutmuyor ofis çok sıcak,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1383,"Buse kartını dün İzmir Ofis yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1384,"Yazıcının rengi soluk çıkıyor, kartuş değişmesi gerekebilir.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1385,Yeni stajyerimiz için AD kullanıcı hesabı ve mail adresi açılması gerekiyor.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1386,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Orta
T-1387,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1388,mouse'um kablosuz ama bağlanmıyor pil değiştirdim olmadı.,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1389,bilgisayarım açılmıyor mavi ekran verdi,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Düşük
T-1390,VPN bağlanamıyorum evden şirket ağına bağlanmaya çalışıyorum hata veriyor.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1391,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1392,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1393,geçen haftaki seyahat masraflarımın onayı bekliyor ne zaman geçer acaba,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1394,"Bilgi İşlem paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1395,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1396,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Orta
T-1397,"Finans departmanına yeni katılacak Barış için bilgisayar hazırlanması gerekiyor, 28 Ağustos'te başlıyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Orta
T-1398,SGK için hizmet dökümü belgesi rica ederim.,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1399,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, zemin kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1400,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1401,toplantı odasının ışığı hiç yanmıyor 2 Ekim'ten beri.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1402,Word belgesi kaydedilirken hata alıyorum NTLM auth failed.,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1403,masamın çekmecesi kilitleniyor açılmıyor,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1404,Tüm binada internet kesildi acil müdahale rica ederiz.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1405,1 Ekim için izin almak istiyorum yeterli günüm var mı acaba?,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1406,toner bitti acil 7. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1407,"Satış için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1408,sunucu yanıtı vermiyor tüm sistem yavaş,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1409,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1410,"Ahmet kartını dün Ankara Şube yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1411,"yazıcı kağıt sıkıştırdı sürekli hata veriyor HP LaserJet, Maslak Ofis.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1412,yeni personel için mail adresi açılsın,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1413,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1414,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1415,"Gizem'in masasındaki ikinci monitör hiç açılmıyor, 20 Eylül tarihinden beri.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1416,"Merhaba, 15 Eylül tarihinden beri bilgisayarım rastgele kapanıyor, fan sesi de çok yüksek geliyor, Kocaeli Depo'da çalışıyorum.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Yüksek
T-1417,"VPN bağlantım sürekli kopuyor, 11:15 civarı çalışırken, Gizem.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1418,"Yeni işe başladım ama giriş bilgilerim çalışmıyor, 12 Eylül'te başladım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1419,1.500 TL avans talep ediyorum 30 Ağustos seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1420,masraf formunu yanlış doldurmuşum düzeltebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1421,"Kalite paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1422,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1423,"İzmir Ofis güzergahına yeni durak eklenmesini talep ediyorum, Ahmet.",Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1424,"İkinci monitör talep ediyorum, ekran paylaşımı için ihtiyacım var, Bilgi İşlem.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1425,SGK için hizmet dökümü belgesi rica ederim.,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1426,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, bodrum kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1427,"Visio kurulumu talep ediyorum, Müşteri Hizmetleri projeleri için gerekli.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1428,prizler çalışmıyor şarj olmuyor bilgisayarım,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1429,Word belgesi kaydedilirken hata alıyorum NTLM auth failed.,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1430,2. kat'daki ofis sandalyesi çok yıpranmış değişmesi gerekiyor.,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1431,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1432,izin bakiyem ne kadar,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1433,Yazıcının toneri bitti acil 4. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1434,beyaz tahta kalemi bitti,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1435,sunucu yanıtı vermiyor tüm sistem yavaş,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1436,ofis dondurucu gibi klima kapanmıyor,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1437,giriş kartımı kaybettim yenisini nasıl çıkartabilirim,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1438,yazıcı kağıt sıkıştırdı basmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1439,Yeni stajyerimiz için AD kullanıcı hesabı ve mail adresi açılması gerekiyor.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1440,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1441,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Orta
T-1442,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Düşük
T-1443,bilgisayarım açılmıyor mavi ekran verdi,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1444,vpn hata veriyor Timeout Exception,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
T-1445,"Hesabım kilitlendi, çok kez yanlış şifre girdim, Deniz.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1446,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1447,5.000 TL tutarındaki harcama formum 5 gündür beklemede.,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1448,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1449,Deniz Lojistik Ltd. firmasının FTR-2026-0643 numaralı faturası ödendi mi?,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1450,Kadıköy güzergahı servis saatlerini öğrenebilir miyim?,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1451,"Hukuk departmanına yeni katılacak Ahmet için bilgisayar hazırlanması gerekiyor, 23 Ağustos'te başlıyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Orta
T-1452,"Gizem, hızlı bir şekilde çalışma belgesi çıkartabilir miyiz?",Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1453,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, 2. kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1454,pdf editör programı kurulmasını rica ederim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1455,elektrik kesildi tüm kat karanlık,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Yüksek
T-1456,outlook takvim senkronize olmuyor toplantılarım görünmüyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Orta
T-1457,masamın çekmecesi kilitleniyor açılmıyor,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1458,"Bağlantım sürekli düşüyor, video konferans yaparken kopmalar oluyor, Muhasebe.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1459,yıllık izin ne kadar kaldı bilmiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1460,toner bitti acil 7. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1461,kalem defter A4 kağıt lazım departmanımıza,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1462,Muhasebe sistemi kapandı fatura kesemiyoruz acil!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1463,3. kat klima çok gürültü yapıyor rahatsız ediyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1464,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1465,"yazıcı kağıt sıkıştırdı sürekli hata veriyor Brother HL-L2350, İstanbul Merkez Ofis.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1466,"Kaan 28 Ağustos'te İnsan Kaynakları'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1467,iznimi değiştirmem lazım tarih uymuyor artık,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Orta
T-1468,CRM raporları veritabanı hatası veriyor 14:00'den beri.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Orta
T-1469,"Monitörümde titreme/çizgi var, 1. kat, Gebze Fabrika.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Yüksek
T-1470,bilgisayar donuyor sürekli,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1471,"Yeni cihazımda VPN kurulumu yapılmamış, bağlanmaya çalışınca 'sertifika hatası' alıyorum.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1472,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1473,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1474,masraf formunu yanlış doldurmuşum düzeltebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Orta
